+--------+--------+-------+--------------------+-----------+-----------+
|  cust  |  prod  | month |     avg_quant      | max_quant | min_quant |
|  Sam   |  Ham   |   3   |       564.0        |    907    |    321    |
|  Chae  | Grapes |   8   | 670.3333333333334  |    787    |    513    |
| Claire | Dates  |   4   |        967         |    967    |    967    |
| Wally  | Butter |   11  |       274.5        |    480    |     45    |
| Emily  | Cherry |   12  |       390.0        |    660    |     45    |
| Claire | Cherry |   9   |       797.0        |    919    |    574    |
|  Chae  |  Fish  |   2   |       214.5        |    275    |    154    |
|  Sam   | Grapes |   2   | 477.6666666666667  |    802    |    106    |
|  Sam   | Grapes |   12  | 532.6666666666666  |    775    |    223    |
| Claire | Butter |   7   |        747         |    747    |    747    |
| Claire |  Eggs  |   1   | 517.3333333333334  |    881    |    199    |
| Emily  | Dates  |   11  | 656.6666666666666  |    886    |    203    |
|  Chae  |  Ice   |   11  | 317.3333333333333  |    541    |    152    |
|  Chae  | Cherry |   4   |       592.0        |    865    |    309    |
|  Mia   | Butter |   11  |       433.0        |    744    |    122    |
| Claire | Cherry |   7   |       341.0        |    519    |    175    |
|  Chae  |  Ice   |   6   |       387.0        |    595    |    179    |
|  Mia   |  Eggs  |   7   | 530.6666666666666  |    696    |    251    |
| Emily  | Butter |   7   |        412         |    412    |    412    |
| Emily  |  Eggs  |   8   |       293.25       |    426    |     19    |
|  Mia   | Cherry |   1   |        991         |    991    |    991    |
|  Boo   |  Eggs  |   8   |        196         |    196    |    196    |
|  Sam   | Apple  |   9   |       472.0        |    894    |     50    |
| Helen  | Butter |   9   |        727         |    727    |    727    |
| Claire |  Fish  |   7   |       276.5        |    431    |    122    |
| Claire | Apple  |   5   | 468.6666666666667  |    818    |     38    |
|  Sam   | Jelly  |   8   |       463.5        |    807    |     42    |
|  Chae  |  Ice   |   3   | 680.3333333333334  |    980    |    105    |
|  Boo   |  Ham   |   10  |       327.5        |    612    |     43    |
|  Sam   | Jelly  |   11  |       619.5        |    949    |    290    |
| Claire | Grapes |   6   |       420.0        |    932    |     44    |
|  Dan   |  Eggs  |   9   | 132.33333333333334 |    183    |     92    |
| Helen  |  Ice   |   11  |       450.5        |    551    |    350    |
|  Dan   | Cherry |   6   |       531.0        |    834    |    228    |
| Wally  | Butter |   1   | 227.33333333333334 |    635    |     2     |
|  Dan   | Apple  |   3   |       409.0        |    911    |     44    |
|  Dan   | Grapes |   12  |       382.0        |    965    |     72    |
| Claire |  Fish  |   1   |       212.5        |    398    |     27    |
| Helen  | Apple  |   11  |       633.0        |    767    |    499    |
|  Boo   | Butter |   6   | 725.6666666666666  |    919    |    412    |
| Helen  | Jelly  |   10  |       609.5        |    866    |    353    |
|  Boo   | Dates  |   10  |       207.0        |    285    |    129    |
| Emily  |  Ice   |   2   |       706.0        |    733    |    679    |
| Helen  |  Eggs  |   9   | 504.6666666666667  |    913    |    276    |
|  Sam   |  Ham   |   2   | 486.8333333333333  |    969    |    165    |
| Emily  | Apple  |   1   |       307.0        |    422    |    202    |
|  Dan   |  Ice   |   4   |       485.5        |    605    |    366    |
|  Boo   |  Eggs  |   4   |        525         |    525    |    525    |
|  Dan   | Apple  |   5   |       487.0        |    852    |    122    |
| Emily  |  Ham   |   8   |        795         |    795    |    795    |
| Helen  |  Ice   |   5   |       692.0        |    979    |     3     |
|  Mia   |  Eggs  |   8   |       549.6        |    877    |     42    |
|  Boo   | Apple  |   7   | 613.3333333333334  |    999    |     10    |
|  Dan   | Jelly  |   5   |       340.0        |    431    |    249    |
| Helen  | Apple  |   3   |       783.25       |    857    |    638    |
| Wally  | Cherry |   7   |       265.75       |    639    |     57    |
|  Mia   | Jelly  |   12  |       796.5        |    971    |    622    |
| Emily  | Butter |   3   |       491.25       |    740    |     41    |
|  Boo   |  Ham   |   3   | 512.6666666666666  |    597    |    444    |
| Emily  | Apple  |   3   |       520.0        |    710    |    407    |
|  Chae  |  Ham   |   1   | 328.3333333333333  |    720    |     9     |
|  Dan   | Apple  |   1   |        664         |    664    |    664    |
| Emily  |  Fish  |   11  |        115         |    115    |    115    |
| Wally  | Cherry |   2   |       129.5        |    168    |     91    |
| Claire | Grapes |   1   |        161         |    161    |    161    |
|  Chae  | Dates  |   4   |       607.0        |    972    |    239    |
| Wally  |  Eggs  |   10  |        399         |    399    |    399    |
| Claire | Butter |   12  | 537.6666666666666  |    665    |    363    |
|  Boo   | Butter |   7   | 594.6666666666666  |    756    |    333    |
| Wally  | Grapes |   6   |       435.0        |    481    |    389    |
| Emily  |  Fish  |   1   | 338.6666666666667  |    651    |     40    |
|  Chae  | Grapes |   3   |       277.0        |    504    |     58    |
| Wally  |  Eggs  |   8   |         54         |     54    |     54    |
| Emily  | Jelly  |   4   |       728.0        |    826    |    630    |
|  Mia   |  Ice   |   11  |        156         |    156    |    156    |
| Emily  |  Eggs  |   5   |       535.0        |    976    |    120    |
| Wally  |  Ham   |   3   |       397.5        |    693    |    102    |
|  Boo   | Dates  |   12  |       366.8        |    764    |    219    |
|  Dan   | Butter |   8   |       723.5        |    958    |    489    |
|  Mia   | Cherry |   9   |       398.0        |    616    |    301    |
|  Chae  | Cherry |   11  |        452         |    452    |    452    |
|  Boo   | Cherry |   11  |       752.75       |    929    |    354    |
|  Dan   | Dates  |   6   |       629.0        |    976    |    282    |
| Helen  |  Ham   |   4   |       653.0        |    897    |    262    |
|  Mia   | Grapes |   5   |       338.2        |    661    |    132    |
| Emily  | Butter |   11  |       513.5        |    891    |    336    |
| Emily  | Grapes |   11  |       477.5        |    950    |     5     |
|  Mia   | Apple  |   12  |       303.75       |    786    |    138    |
| Emily  | Jelly  |   11  |       285.75       |    638    |     92    |
| Helen  |  Ham   |   2   | 326.6666666666667  |    463    |     71    |
|  Mia   |  Fish  |   4   | 424.3333333333333  |    497    |    355    |
| Emily  | Grapes |   5   |        201         |    201    |    201    |
| Emily  | Cherry |   6   |       428.0        |    703    |    203    |
| Claire | Grapes |   11  |       586.6        |    965    |    189    |
|  Sam   | Dates  |   6   |       799.5        |    919    |    680    |
|  Boo   | Cherry |   2   |        263         |    263    |    263    |
|  Boo   | Jelly  |   7   |       382.0        |    655    |     40    |
|  Chae  | Apple  |   3   |       488.0        |    787    |     92    |
|  Chae  |  Eggs  |   4   |       506.5        |    848    |    165    |
| Emily  |  Ice   |   11  |        55.0        |     72    |     38    |
| Wally  | Dates  |   8   | 401.3333333333333  |    504    |    336    |
| Wally  |  Ice   |   3   |        650         |    650    |    650    |
| Helen  | Cherry |   6   |        490         |    490    |    490    |
|  Mia   | Butter |   5   |       338.0        |    520    |     20    |
|  Boo   |  Eggs  |   7   | 684.6666666666666  |    990    |    236    |
| Claire |  Ice   |   12  | 660.6666666666666  |    877    |    488    |
| Wally  | Dates  |   12  |       338.0        |    492    |    140    |
| Claire |  Ham   |   4   |       249.5        |    330    |    169    |
|  Sam   | Dates  |   11  |       523.75       |    782    |    312    |
|  Boo   | Dates  |   2   |       479.0        |    593    |    365    |
|  Mia   | Apple  |   8   |        346         |    346    |    346    |
|  Mia   | Apple  |   1   |       706.0        |    908    |    518    |
| Emily  | Apple  |   10  | 373.6666666666667  |    706    |     74    |
| Emily  | Butter |   4   |       552.5        |    624    |    481    |
|  Sam   |  Ice   |   2   |       581.5        |    802    |    361    |
| Wally  | Dates  |   9   |       306.5        |    535    |     78    |
|  Dan   | Cherry |   4   |        61.0        |     67    |     55    |
|  Sam   | Jelly  |   9   |       563.5        |    908    |    219    |
| Emily  |  Ham   |   11  | 429.3333333333333  |    795    |     19    |
|  Mia   |  Ham   |   12  |       485.5        |    600    |    371    |
| Emily  | Dates  |   9   |        233         |    233    |    233    |
| Claire |  Ice   |   5   |        163         |    163    |    163    |
|  Sam   | Grapes |   8   |         85         |     85    |     85    |
|  Mia   | Jelly  |   8   |       630.5        |    757    |    504    |
|  Mia   | Jelly  |   7   |        401         |    401    |    401    |
| Claire | Jelly  |   2   |       373.0        |    693    |     53    |
| Claire | Jelly  |   5   |        145         |    145    |    145    |
| Wally  | Butter |   12  |       489.0        |    581    |    397    |
|  Dan   |  Ice   |   9   |       541.75       |    861    |    313    |
| Emily  |  Eggs  |   7   |       388.5        |    611    |    166    |
| Helen  | Apple  |   1   |        635         |    635    |    635    |
| Helen  |  Ice   |   12  |       323.0        |    586    |     60    |
| Emily  | Jelly  |   3   |        175         |    175    |    175    |
| Wally  | Apple  |   1   |       607.0        |    749    |    465    |
| Claire |  Eggs  |   10  | 391.3333333333333  |    785    |     62    |
| Claire |  Ham   |   12  |       378.0        |    733    |     23    |
| Wally  |  Ice   |   11  |         19         |     19    |     19    |
| Claire | Butter |   9   |        191         |    191    |    191    |
|  Boo   |  Fish  |   4   |       597.5        |    773    |    422    |
|  Dan   | Dates  |   1   |        401         |    401    |    401    |
| Wally  | Cherry |   9   |        553         |    553    |    553    |
| Claire |  Fish  |   8   |       104.0        |    155    |     53    |
|  Dan   |  Fish  |   9   |       430.5        |    947    |    111    |
| Wally  | Jelly  |   10  | 732.6666666666666  |    946    |    394    |
|  Chae  | Jelly  |   11  |        131         |    131    |    131    |
| Emily  | Cherry |   7   |        610         |    610    |    610    |
|  Sam   | Jelly  |   10  |       502.0        |    891    |    113    |
|  Chae  | Apple  |   8   |       332.5        |    634    |     40    |
| Helen  | Apple  |   5   |       734.0        |    855    |    613    |
| Helen  | Butter |   8   |       695.0        |    909    |    503    |
|  Sam   |  Eggs  |   6   |        967         |    967    |    967    |
|  Mia   | Cherry |   5   |        518         |    518    |    518    |
| Wally  | Grapes |   4   |       406.0        |    558    |    254    |
|  Sam   | Grapes |   7   |        804         |    804    |    804    |
| Helen  | Jelly  |   7   |        52.5        |     84    |     21    |
|  Boo   |  Ice   |   8   |       625.0        |    720    |    457    |
|  Sam   | Butter |   7   |       918.0        |    963    |    873    |
| Wally  |  Fish  |   6   |        695         |    695    |    695    |
| Claire |  Ham   |   1   | 881.6666666666666  |    978    |    825    |
| Wally  | Jelly  |   4   |       599.5        |    708    |    491    |
| Emily  | Dates  |   12  |       518.0        |    599    |    437    |
| Claire | Jelly  |   11  |        990         |    990    |    990    |
|  Boo   | Butter |   5   |       518.0        |    921    |    158    |
|  Boo   |  Fish  |   6   |       305.0        |    387    |    163    |
|  Mia   |  Ice   |   7   | 757.6666666666666  |    981    |    427    |
| Emily  |  Eggs  |   3   |       585.5        |    882    |    255    |
| Helen  | Apple  |   10  | 466.6666666666667  |    745    |    294    |
|  Boo   | Apple  |   4   |       637.0        |    978    |    213    |
|  Mia   | Apple  |   3   |       424.0        |    646    |    186    |
| Emily  |  Fish  |   2   |       587.0        |    683    |    491    |
|  Mia   | Grapes |   11  | 302.3333333333333  |    425    |     65    |
| Wally  | Grapes |   11  |        796         |    796    |    796    |
|  Chae  | Butter |   5   |        251         |    251    |    251    |
| Wally  | Jelly  |   11  | 471.3333333333333  |    638    |    371    |
|  Chae  | Dates  |   8   | 731.6666666666666  |    928    |    507    |
| Emily  | Apple  |   6   |       605.5        |    620    |    591    |
| Wally  |  Ice   |   4   |       633.0        |    906    |    360    |
| Helen  |  Fish  |   3   | 203.66666666666666 |    391    |     97    |
|  Boo   |  Eggs  |   5   |        842         |    842    |    842    |
|  Boo   | Cherry |   4   |       817.5        |    932    |    703    |
|  Sam   | Jelly  |   7   |       750.0        |    997    |    287    |
| Emily  | Jelly  |   7   |       716.5        |    984    |    449    |
|  Mia   | Cherry |   10  | 404.3333333333333  |    690    |     74    |
| Emily  |  Eggs  |   11  | 385.6666666666667  |    685    |    104    |
| Claire |  Ham   |   2   |       673.0        |    922    |    424    |
|  Sam   | Grapes |   4   |        862         |    862    |    862    |
|  Chae  | Jelly  |   2   | 388.6666666666667  |    490    |    295    |
|  Sam   | Cherry |   9   |       180.0        |    224    |    102    |
|  Sam   | Cherry |   1   |       643.0        |    747    |    539    |
|  Chae  |  Eggs  |   1   |       399.5        |    661    |    138    |
|  Sam   |  Fish  |   10  |       243.0        |    353    |    133    |
|  Mia   |  Ice   |   6   |        335         |    335    |    335    |
|  Chae  |  Eggs  |   12  |       521.0        |    759    |    377    |
| Claire |  Fish  |   2   |        689         |    689    |    689    |
|  Chae  | Grapes |   5   |       741.5        |    978    |    505    |
| Claire |  Eggs  |   9   | 518.6666666666666  |    755    |    279    |
| Helen  |  Eggs  |   4   | 697.3333333333334  |    946    |    375    |
| Emily  | Cherry |   10  | 478.3333333333333  |    667    |    164    |
| Helen  |  Ice   |   7   |       598.5        |    701    |    496    |
|  Chae  | Butter |   10  |        47.0        |     80    |     14    |
|  Boo   |  Ham   |   5   |       656.75       |    952    |    370    |
|  Mia   |  Ice   |   9   | 532.3333333333334  |    669    |    308    |
|  Chae  | Apple  |   6   |       371.5        |    381    |    362    |
|  Boo   |  Ham   |   2   |       228.5        |    271    |    186    |
| Claire | Apple  |   8   |        824         |    824    |    824    |
| Wally  | Apple  |   4   |       436.75       |    953    |    249    |
| Emily  |  Ice   |   5   |       279.5        |    448    |    111    |
| Emily  | Butter |   8   |       833.5        |    991    |    676    |
|  Boo   | Grapes |   10  | 453.6666666666667  |    751    |     84    |
|  Dan   |  Ice   |   6   | 330.6666666666667  |    859    |     54    |
| Wally  |  Ice   |   9   |        434         |    434    |    434    |
|  Chae  |  Eggs  |   3   |       602.75       |    952    |    244    |
|  Dan   |  Eggs  |   11  | 437.3333333333333  |    933    |    186    |
|  Boo   | Cherry |   6   |        287         |    287    |    287    |
|  Mia   |  Ice   |   12  |       741.0        |    921    |    415    |
|  Sam   |  Ice   |   1   | 554.3333333333334  |    794    |    302    |
| Claire |  Ice   |   9   |       299.25       |    352    |    231    |
| Emily  |  Ham   |   9   |        365         |    365    |    365    |
|  Mia   | Apple  |   2   |       505.25       |    780    |    112    |
|  Chae  |  Ice   |   1   |       501.0        |    957    |     8     |
|  Dan   | Butter |   3   |       557.0        |    974    |     27    |
|  Boo   | Cherry |   1   |       325.0        |    505    |    145    |
| Emily  |  Fish  |   9   |        630         |    630    |    630    |
| Emily  |  Ice   |   12  |       573.5        |    952    |    195    |
|  Sam   |  Fish  |   1   | 685.3333333333334  |    824    |    544    |
| Claire | Apple  |   9   | 218.66666666666666 |    420    |     28    |
| Wally  | Dates  |   10  |       585.25       |    775    |    201    |
|  Mia   | Apple  |   6   |       810.5        |    931    |    690    |
| Helen  |  Fish  |   9   |       780.0        |    886    |    674    |
|  Boo   |  Ice   |   10  |       619.5        |    717    |    522    |
|  Chae  |  Fish  |   6   |       708.0        |    777    |    639    |
|  Chae  | Cherry |   8   | 566.6666666666666  |    656    |    489    |
|  Boo   |  Fish  |   12  |         39         |     39    |     39    |
|  Boo   | Cherry |   9   |        600         |    600    |    600    |
|  Chae  |  Ham   |   10  |       408.5        |    774    |     43    |
| Wally  | Grapes |   1   | 335.3333333333333  |    654    |     85    |
|  Sam   | Grapes |   10  |        51.0        |     69    |     33    |
|  Chae  |  Ice   |   10  |       611.5        |    908    |    430    |
|  Chae  | Dates  |   7   |        470         |    470    |    470    |
|  Mia   |  Fish  |   12  |       679.5        |    901    |    458    |
| Emily  |  Eggs  |   6   |        187         |    187    |    187    |
|  Mia   |  Eggs  |   10  |       433.75       |    623    |    153    |
|  Dan   | Butter |   12  |       126.0        |    225    |     27    |
| Helen  | Dates  |   6   |        537         |    537    |    537    |
|  Boo   | Grapes |   7   | 575.6666666666666  |    835    |    446    |
| Claire |  Ice   |   2   |       583.0        |    860    |     71    |
|  Mia   | Butter |   12  |       519.5        |    695    |    284    |
| Helen  | Butter |   4   | 436.6666666666667  |    668    |     23    |
|  Dan   | Dates  |   12  |       587.5        |    968    |    174    |
| Claire |  Ham   |   11  |       479.2        |    966    |    150    |
| Wally  | Dates  |   11  |        465         |    465    |    465    |
| Claire |  Ham   |   3   | 104.33333333333333 |    171    |     26    |
| Helen  | Grapes |   2   |       368.5        |    376    |    361    |
| Wally  | Cherry |   11  | 501.6666666666667  |    896    |     99    |
|  Boo   |  Ice   |   3   |        116         |    116    |    116    |
| Emily  | Apple  |   9   | 538.6666666666666  |    688    |    287    |
| Emily  | Grapes |   10  |       328.0        |    468    |    188    |
|  Chae  | Dates  |   9   |       286.0        |    589    |     21    |
| Emily  | Jelly  |   9   |        460         |    460    |    460    |
| Emily  | Cherry |   11  |         75         |     75    |     75    |
|  Dan   | Dates  |   5   |        649         |    649    |    649    |
|  Mia   | Butter |   8   | 253.33333333333334 |    611    |     55    |
| Helen  |  Eggs  |   2   |       320.6        |    979    |     4     |
|  Dan   | Cherry |   8   |        175         |    175    |    175    |
|  Mia   |  Eggs  |   4   | 546.6666666666666  |    809    |    232    |
|  Chae  |  Ice   |   2   |       712.8        |    891    |    606    |
|  Mia   | Cherry |   12  |       138.5        |    253    |     24    |
| Claire |  Ham   |   7   |        620         |    620    |    620    |
|  Chae  | Jelly  |   12  |       307.0        |    603    |     11    |
|  Chae  |  Ice   |   4   | 697.8333333333334  |    973    |    203    |
|  Mia   |  Fish  |   10  |       838.0        |    871    |    805    |
|  Dan   |  Ice   |   1   |       488.0        |    533    |    443    |
|  Chae  | Butter |   12  |       565.5        |    644    |    487    |
| Wally  |  Ice   |   5   |       385.0        |    823    |     71    |
| Wally  | Dates  |   2   |       301.0        |    459    |    139    |
|  Dan   |  Ice   |   3   |         45         |     45    |     45    |
| Claire | Cherry |   5   |       489.6        |    866    |    101    |
| Emily  |  Fish  |   10  | 391.3333333333333  |    973    |     42    |
| Emily  |  Fish  |   5   |       499.0        |    534    |    453    |
| Helen  |  Ice   |   10  |       719.0        |    975    |    223    |
|  Chae  |  Fish  |   8   | 414.6666666666667  |    848    |     44    |
|  Chae  | Cherry |   2   |       601.5        |    658    |    545    |
| Emily  | Dates  |   1   |       269.0        |    410    |    128    |
| Claire | Dates  |   6   |        203         |    203    |    203    |
| Helen  |  Eggs  |   1   | 665.6666666666666  |    951    |    284    |
|  Sam   | Butter |   6   | 391.6666666666667  |    698    |    118    |
| Claire | Apple  |   4   |       243.0        |    444    |     42    |
|  Mia   | Dates  |   11  |       566.0        |    950    |    182    |
|  Mia   |  Fish  |   1   |         29         |     29    |     29    |
|  Sam   | Apple  |   12  | 493.6666666666667  |    635    |    388    |
|  Chae  |  Fish  |   3   |       545.5        |    858    |    233    |
|  Boo   |  Ice   |   6   |       698.0        |    977    |    419    |
| Wally  |  Fish  |   5   | 587.6666666666666  |    873    |    293    |
| Wally  |  Fish  |   8   |       507.75       |    815    |    205    |
|  Boo   |  Eggs  |   9   | 337.6666666666667  |    851    |     70    |
| Wally  |  Fish  |   2   | 535.3333333333334  |    671    |    360    |
|  Mia   | Jelly  |   6   |       782.0        |    948    |    616    |
|  Chae  | Cherry |   7   |       567.0        |    933    |    201    |
| Helen  |  Eggs  |   5   |       273.0        |    651    |     64    |
| Claire | Jelly  |   4   |       595.0        |    695    |    495    |
| Wally  | Dates  |   4   |       337.5        |    596    |     79    |
|  Dan   | Dates  |   7   |       506.5        |    714    |    183    |
|  Boo   | Apple  |   1   |       325.5        |    399    |    252    |
|  Mia   | Cherry |   6   |       424.0        |    559    |    289    |
| Emily  |  Ham   |   6   |       496.5        |    581    |    412    |
|  Mia   |  Eggs  |   9   |       676.0        |    883    |    266    |
|  Boo   | Grapes |   6   | 255.66666666666666 |    517    |     32    |
|  Dan   |  Fish  |   4   |       360.0        |    756    |    175    |
|  Dan   | Grapes |   6   |        92.5        |    132    |     53    |
|  Chae  | Apple  |   1   |        831         |    831    |    831    |
|  Dan   | Cherry |   2   |       256.5        |    512    |     1     |
|  Mia   | Dates  |   1   |        703         |    703    |    703    |
| Claire | Grapes |   7   |        336         |    336    |    336    |
|  Boo   | Jelly  |   8   |        840         |    840    |    840    |
|  Chae  |  Ice   |   8   |        300         |    300    |    300    |
| Emily  |  Ice   |   6   |        924         |    924    |    924    |
|  Sam   |  Ham   |   8   | 216.66666666666666 |    427    |     60    |
|  Mia   |  Eggs  |   12  |       267.0        |    327    |    173    |
| Helen  | Dates  |   1   |       610.0        |    773    |    447    |
| Wally  | Apple  |   3   | 522.6666666666666  |    837    |    228    |
|  Boo   | Butter |   10  |       265.0        |    352    |    178    |
|  Chae  |  Ham   |   8   |        782         |    782    |    782    |
| Helen  | Dates  |   2   |        731         |    731    |    731    |
| Emily  |  Fish  |   6   |       633.0        |    911    |    137    |
|  Sam   |  Ice   |   6   |       439.0        |    786    |    230    |
| Emily  | Grapes |   3   |        502         |    502    |    502    |
| Claire | Apple  |   11  |       386.5        |    389    |    384    |
| Claire | Grapes |   8   |        713         |    713    |    713    |
|  Sam   |  Eggs  |   8   |       770.5        |    928    |    613    |
| Helen  | Grapes |   9   |       536.0        |    729    |    341    |
| Emily  | Butter |   2   |       856.0        |    975    |    737    |
| Helen  | Dates  |   5   | 569.3333333333334  |    792    |    236    |
|  Mia   | Cherry |   7   |       479.25       |    949    |     6     |
| Emily  |  Ham   |   7   | 476.42857142857144 |    979    |     32    |
|  Sam   | Cherry |   2   | 517.8333333333334  |    1000   |    113    |
| Emily  |  Ham   |   5   |        360         |    360    |    360    |
|  Mia   | Butter |   10  |       664.25       |    879    |    548    |
| Wally  |  Eggs  |   1   |       716.5        |    978    |    455    |
|  Mia   | Cherry |   2   |       318.5        |    612    |     25    |
|  Mia   | Grapes |   12  |       300.5        |    323    |    278    |
|  Chae  | Dates  |   6   |       791.0        |    950    |    632    |
| Emily  | Grapes |   9   |        785         |    785    |    785    |
|  Boo   | Jelly  |   6   |        381         |    381    |    381    |
|  Chae  | Butter |   2   |       465.2        |    993    |     82    |
